Year	MK	EPCOT	Studios	AK	Total
2013	18.6	11.2	10.1	10.2	50.1
2012	17.5	11	9.9	10	48.4
2011	17.1	10.8	9.7	9.8	47.4
2010	17	10.8	9.6	9.7	47.1
2009	17.2	11	9.7	9.6	47.5
2008	17	10.9	9.6	9.5	47
2007	17	10.9	9.5	9.5	46.9
2006	16.6	10.5	9.1	8.9	45.1
2005	16.2	9.9	8.6	8.2	42.9
2004	15.2	9.4	8.3	7.8	40.7
2003	14	8.6	7.9	7.3	37.8
2002	14	8.3	8	7.3	37.6
2001	14.7	9	8.4	7.8	39.9
2000	15.4	10.6	8.9	8.3	43.2
1999	15.2	10.1	8.7	8.6	42.6
1998	15.6	10.6	9.5	6	41.7
1997	17	11.8	10.5		39.3
1996	13.8	11.2	10		35
1995	12.9	10.7	9.5		33.1
1994	11.2	9.7	8		28.9
1993	12	10	8		30
1992	30.2				30.2
1991	28				28
1990	28.5				28.5
1989	30				30
1988	25.2				25.2
1987	26				26
1986	23.9				23.9
1985	21.6				21.6
1984	21.1				21.1
1983	22.7				22.7
1982	12.6				12.6
1981	13.2				13.2
1980	13.8				13.8
1979	13.8				13.8
1978	14.1				14.1
1977	13.1				13.1
1976	13.1				13.1
1975	12.5				12.5
1974	10.8				10.8
1973	11.6				11.6
1972	10.7				10.7
